viallabel,pid,group,sex,tissue
90560016002,10700102,1w,female,ADRNL
90560016003,10700102,1w,female,ADRNL
90560016004,10700102,1w,female,ADRNL
90560016902,10700102,1w,female,BAT
90560016903,10700102,1w,female,BAT
90560016904,10700102,1w,female,BAT
90560016905,10700102,1w,female,BAT
90560016906,10700102,1w,female,BAT
90560016907,10700102,1w,female,BAT
90560016908,10700102,1w,female,BAT
90560016909,10700102,1w,female,BAT
90560013001,10700102,1w,female,BLOOD
90560016102,10700102,1w,female,COLON
90560016103,10700102,1w,female,COLON
90560016104,10700102,1w,female,COLON
90560015302,10700102,1w,female,CORTEX
90560015303,10700102,1w,female,CORTEX
90560015304,10700102,1w,female,CORTEX
90560015305,10700102,1w,female,CORTEX
90560015802,10700102,1w,female,HEART
90560015803,10700102,1w,female,HEART
90560015804,10700102,1w,female,HEART
90560015805,10700102,1w,female,HEART
90560015806,10700102,1w,female,HEART
90560015807,10700102,1w,female,HEART
90560015808,10700102,1w,female,HEART
90560015809,10700102,1w,female,HEART
90560015810,10700102,1w,female,HEART
90560015812,10700102,1w,female,HEART
90560015202,10700102,1w,female,HIPPOC
90560015203,10700102,1w,female,HIPPOC
90560015204,10700102,1w,female,HIPPOC
90560015205,10700102,1w,female,HIPPOC
90560015206,10700102,1w,female,HIPPOC
90560015207,10700102,1w,female,HIPPOC
90560015208,10700102,1w,female,HIPPOC
90560015210,10700102,1w,female,HIPPOC
90560015402,10700102,1w,female,HYPOTH
90560015403,10700102,1w,female,HYPOTH
90560015404,10700102,1w,female,HYPOTH
90560015902,10700102,1w,female,KIDNEY
90560015903,10700102,1w,female,KIDNEY
90560015904,10700102,1w,female,KIDNEY
90560015905,10700102,1w,female,KIDNEY
90560015906,10700102,1w,female,KIDNEY
90560015907,10700102,1w,female,KIDNEY
90560015908,10700102,1w,female,KIDNEY
90560015909,10700102,1w,female,KIDNEY
90560015911,10700102,1w,female,KIDNEY
90560016803,10700102,1w,female,LIVER
90560016804,10700102,1w,female,LIVER
90560016805,10700102,1w,female,LIVER
90560016806,10700102,1w,female,LIVER
90560016807,10700102,1w,female,LIVER
90560016808,10700102,1w,female,LIVER
90560016809,10700102,1w,female,LIVER
90560016810,10700102,1w,female,LIVER
90560016811,10700102,1w,female,LIVER
90560016813,10700102,1w,female,LIVER
90560016602,10700102,1w,female,LUNG
90560016603,10700102,1w,female,LUNG
90560016604,10700102,1w,female,LUNG
90560016605,10700102,1w,female,LUNG
90560016606,10700102,1w,female,LUNG
90560016607,10700102,1w,female,LUNG
90560016608,10700102,1w,female,LUNG
90560016609,10700102,1w,female,LUNG
90560016611,10700102,1w,female,LUNG
90560016402,10700102,1w,female,OVARY
90560016403,10700102,1w,female,OVARY
90560016404,10700102,1w,female,OVARY
90560013104,10700102,1w,female,PLASMA
90560013105,10700102,1w,female,PLASMA
90560013106,10700102,1w,female,PLASMA
90560013107,10700102,1w,female,PLASMA
90560013108,10700102,1w,female,PLASMA
90560013110,10700102,1w,female,PLASMA
90560013111,10700102,1w,female,PLASMA
90560015503,10700102,1w,female,SKM-GN
90560015504,10700102,1w,female,SKM-GN
90560015505,10700102,1w,female,SKM-GN
90560015507,10700102,1w,female,SKM-GN
90560015508,10700102,1w,female,SKM-GN
90560015509,10700102,1w,female,SKM-GN
90560015510,10700102,1w,female,SKM-GN
90560015511,10700102,1w,female,SKM-GN
90560015512,10700102,1w,female,SKM-GN
90560015514,10700102,1w,female,SKM-GN
90560015516,10700102,1w,female,SKM-GN
90560015603,10700102,1w,female,SKM-VL
90560015604,10700102,1w,female,SKM-VL
90560015605,10700102,1w,female,SKM-VL
90560016702,10700102,1w,female,SMLINT
90560016703,10700102,1w,female,SMLINT
90560016704,10700102,1w,female,SMLINT
90560016202,10700102,1w,female,SPLEEN
90560016203,10700102,1w,female,SPLEEN
90560016204,10700102,1w,female,SPLEEN
90560016502,10700102,1w,female,VENACV
90560016503,10700102,1w,female,VENACV
90560016504,10700102,1w,female,VENACV
90560017003,10700102,1w,female,WAT-SC
90560017004,10700102,1w,female,WAT-SC
90560017005,10700102,1w,female,WAT-SC
90560017006,10700102,1w,female,WAT-SC
90560017007,10700102,1w,female,WAT-SC
90560017008,10700102,1w,female,WAT-SC
90560017009,10700102,1w,female,WAT-SC
90560017010,10700102,1w,female,WAT-SC
90560017011,10700102,1w,female,WAT-SC
90560017012,10700102,1w,female,WAT-SC
90560017014,10700102,1w,female,WAT-SC
90560017702,10700102,1w,female,NA
90573013104,10760008,1w,female,PLASMA
90561013104,10770666,1w,female,PLASMA
90562013104,10780629,1w,female,PLASMA
90563013104,10784616,1w,female,PLASMA
90564016002,10833331,1w,female,ADRNL
90564016003,10833331,1w,female,ADRNL
90564016004,10833331,1w,female,ADRNL
90564016005,10833331,1w,female,ADRNL
