Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM7759762,"rna-seq_blood_male_reference_1_vial_80006883006","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997411",SRX20997411,"Euan Ashley","Sep 30, 2023"
GSM7759763,"rna-seq_blood_female_reference_1_vial_80007993006","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997412",SRX20997412,"Euan Ashley","Sep 30, 2023"
GSM7759764,"rna-seq_hippoc_male_reference_2_vial_80034885205","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997420",SRX20997420,"Euan Ashley","Sep 30, 2023"
GSM7759765,"rna-seq_hippoc_male_reference_2_vial_80034885206","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997309",SRX20997309,"Euan Ashley","Sep 30, 2023"
GSM7759766,"rna-seq_hippoc_male_reference_2_vial_80034885207","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997325",SRX20997325,"Euan Ashley","Sep 30, 2023"
GSM7759767,"rna-seq_hippoc_female_reference_2_vial_80035995205","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997006",SRX20997006,"Euan Ashley","Sep 30, 2023"
GSM7759768,"rna-seq_hippoc_female_reference_2_vial_80035995206","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997759",SRX20997759,"Euan Ashley","Sep 30, 2023"
GSM7759769,"rna-seq_hippoc_female_reference_2_vial_80035995207","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997796",SRX20997796,"Euan Ashley","Sep 30, 2023"
GSM7759770,"rna-seq_skm-gn_male_reference_3_vial_80000885510","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997653",SRX20997653,"Euan Ashley","Sep 30, 2023"
GSM7759771,"rna-seq_skm-gn_male_reference_3_vial_80000885532","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997282",SRX20997282,"Euan Ashley","Sep 30, 2023"
GSM7759772,"rna-seq_skm-gn_male_reference_3_vial_80000885533","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997413",SRX20997413,"Euan Ashley","Sep 30, 2023"
GSM7759773,"rna-seq_skm-gn_male_reference_3_vial_80000885537","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997495",SRX20997495,"Euan Ashley","Sep 30, 2023"
GSM7759774,"rna-seq_skm-gn_male_reference_3_vial_80000885540","SRA","Rattus norvegicus",1,GPL25947,GSE242354;GSE242358,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX20997506",SRX20997506,"Euan Ashley","Sep 30, 2023"
