Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue,treatment,Vial_Label
SRR25250919,6 months,RNA-Seq,206,7024247122,PRJNA908279,SAMN36363933,Model organism or animal,2243667409,STANFORD UNIVERSITY,not available,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20997191,uncalculated,uncalculated,not available,Illumina NovaSeq 6000,rna-seq_lung_male_reference_7_vial_80026886619,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:49:00Z,1,lung_male_reference_7_vial_80026886619,male,SRP448906,fischer 344,Lung Powder,Reference,80026886619
SRR25250920,6 months,RNA-Seq,206,7913267314,PRJNA908279,SAMN36364166,Model organism or animal,2620242941,STANFORD UNIVERSITY,2018-11-15,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20997190,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_training_male_4w_biological_rep4_vial_90289015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:46:00Z,1,skm-gn_training_male_4w_biological_rep4_vial_90289015512,male,SRP448906,fischer 344,Gastrocnemius Powder,Training - 4 weeks,90289015512
SRR25250921,6 months,RNA-Seq,206,7107235458,PRJNA908279,SAMN36364165,Model organism or animal,2370346323,STANFORD UNIVERSITY,2018-11-13,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX20997189,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_training_male_4w_biological_rep3_vial_90283015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:51:00Z,1,skm-gn_training_male_4w_biological_rep3_vial_90283015512,male,SRP448906,fischer 344,Gastrocnemius Powder,Training - 4 weeks,90283015512
SRR25250923,6 months,RNA-Seq,206,6346396294,PRJNA908279,SAMN36364161,Model organism or animal,2101102042,STANFORD UNIVERSITY,2018-10-04,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20997187,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_control_female_8w_biological_rep5_vial_90266015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:52:00Z,1,skm-gn_control_female_8w_biological_rep5_vial_90266015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Control - 8 weeks,90266015512
SRR25250925,6 months,RNA-Seq,206,6683859932,PRJNA908279,SAMN36364160,Model organism or animal,2213593496,STANFORD UNIVERSITY,2018-10-04,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20997186,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_control_female_8w_biological_rep4_vial_90265015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:49:00Z,1,skm-gn_control_female_8w_biological_rep4_vial_90265015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Control - 8 weeks,90265015512
SRR25250926,6 months,RNA-Seq,206,7565823800,PRJNA908279,SAMN36364159,Model organism or animal,2515154340,STANFORD UNIVERSITY,2018-10-03,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX20997185,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_training_female_8w_biological_rep4_vial_90259015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:49:00Z,1,skm-gn_training_female_8w_biological_rep4_vial_90259015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Training - 8 weeks,90259015512
SRR25250927,6 months,RNA-Seq,206,7403296186,PRJNA908279,SAMN36364158,Model organism or animal,2470974372,STANFORD UNIVERSITY,2018-10-03,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX20997184,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_training_female_8w_biological_rep3_vial_90258015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:48:00Z,1,skm-gn_training_female_8w_biological_rep3_vial_90258015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Training - 8 weeks,90258015512
SRR25250928,6 months,RNA-Seq,206,6933251978,PRJNA908279,SAMN36364157,Model organism or animal,2307949605,STANFORD UNIVERSITY,2018-10-02,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX20997183,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_training_female_8w_biological_rep2_vial_90254015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:52:00Z,1,skm-gn_training_female_8w_biological_rep2_vial_90254015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Training - 8 weeks,90254015512
SRR25250930,6 months,RNA-Seq,206,7612832382,PRJNA908279,SAMN36364156,Model organism or animal,2535498527,STANFORD UNIVERSITY,2018-10-01,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX20997181,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_control_female_8w_biological_rep3_vial_90252015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:50:00Z,1,skm-gn_control_female_8w_biological_rep3_vial_90252015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Control - 8 weeks,90252015512
SRR25250931,6 months,RNA-Seq,206,8639240978,PRJNA908279,SAMN36364155,Model organism or animal,2861095194,STANFORD UNIVERSITY,2018-10-01,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX20997180,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_training_female_8w_biological_rep1_vial_90251015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:52:00Z,1,skm-gn_training_female_8w_biological_rep1_vial_90251015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Training - 8 weeks,90251015512
SRR25250932,6 months,RNA-Seq,206,7664520666,PRJNA908279,SAMN36364154,Model organism or animal,2563584022,STANFORD UNIVERSITY,2018-10-05,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX20997179,USA,North America,USA: Iowa,Illumina NovaSeq 6000,rna-seq_skm-gn_control_female_8w_biological_rep2_vial_90248015512,PAIRED,PolyA,TRANSCRIPTOMIC,Rattus norvegicus,ILLUMINA,2023-09-30T00:00:00Z,2023-07-12T20:53:00Z,1,skm-gn_control_female_8w_biological_rep2_vial_90248015512,female,SRP448906,fischer 344,Gastrocnemius Powder,Control - 8 weeks,90248015512
