Geneid	SRR25250934
CYTB	1396729
ND6	148555
ND5	672966
ND4	47015
ND4L	64666
ND3	60662
COX3	1428896
ATP6	1145316
ATP8	132578
COX2	816207
COX1	2715571
ND2	849044
ND1	890665
LOC100909596	0
LOC100911244	0
LOC103694913	0
LOC100911132	0
LOC100911022	0
LOC100910896	0
LOC100910169	0
LOC680288	0
LOC103694912	0
LOC108353436	2
LOC108353437	0
LOC103694911	0
LOC103694910	0
LOC103694908	0
LOC108353433	0
LOC103694906	0
LOC102556066	0
LOC108353432	2
Tnks2	152
LOC102547146	32
LOC102552909	0
LOC103694905	0
Olr327	0
Rhox9	0
Olr329	0
Nlrp4f	0
Vom1r31	0
Olr1051	0
Olr1751	0
LOC100911215	0
Vps37c	0
LOC102553236	0
Pga5	0
LOC102554620	0
LOC108353430	0
LOC103694903	0
LOC108348323	10
LOC103694902	0
LOC100911422	0
LOC103694899	0
LOC100911383	0
LOC102548912	0
LOC103690073	93
LOC103694897	0
LOC108353429	0
Vom1r75	0
Vom1r74	0
LOC103694893	0
RGD1563818	0
LOC103694892	0
LOC103694891	0
Svs3a	0
LOC103694889	0
Anp32a	435
LOC103690090	0
LOC108348326	0
LOC100909847	0
LOC108353425	0
LOC103689937	0
LOC102556120	0
LOC103690169	0
LOC102550779	0
LOC102553742	0
LOC100909435	0
Gstm5	0
Eps8l3	0
LOC100911216	0
LOC103694886	75
LOC100910488	0
LOC103694885	8
LOC103694884	0
LOC100909869	0
LOC103694883	0
LOC100909546	0
LOC103690173	0
LOC100909461	4
LOC103694882	0
LOC103694880	0
LOC103694881	0
LOC103689948	2
LOC103694879	0
LOC103694878	0
LOC102553811	0
LOC103694877	0
LOC103694875	0
LOC103694876	0
LOC103694874	0
LOC103694872	0
LOC103694873	0
LOC103694871	0
LOC108348325	0
LOC108353422	0
LOC103694870	0
LOC100910486	0
LOC103694869	0
LOC103694868	0
Wfdc17	0
LOC103694867	0
LOC103694865	394
LOC103694864	0
LOC103690023	0
LOC108348322	0
LOC103694863	0
LOC103694866	0
LOC103694861	0
LOC103694860	0
Olr1657	0
LOC100911358	0
LOC103694855	0
LOC103694857	1
LOC103694854	0
Olr307	0
Vom1r1	0
Vom2r8	0
Olr176	0
Olr175	0
Olr174	0
Olr172	0
Olr171	0
LOC689730	0
Olr170	0
Olr168	0
Ccdc110	0
LOC103694853	0
LOC108348324	0
LOC103693384	0
Rnase1	0
LOC103694852	0
LOC100910431	0
LOC100909943	0
Nudcd3	914
LOC102555182	0
LOC100910314	0
LOC103694849	0
LOC100910647	0
LOC100910557	0
LOC103694848	0
LOC100910481	0
LOC100910452	0
LOC100910422	0
LOC103694845	0
LOC108353421	0
LOC100911569	0
LOC103694842	0
LOC100909976	0
LOC100910247	0
LOC100909833	0
LOC100909799	0
LOC103694840	0
LOC100909708	0
LOC100912104	0
LOC103694837	0
LOC100910181	0
LOC100909462	0
LOC100909425	0
LOC100912581	0
LOC103694836	0
LOC100912342	2
Sox1	0
LOC103694833	0
LOC100912135	0
LOC103694832	0
LOC108353418	0
Apoc1	0
LOC100911857	0
LOC100910067	0
LOC103694829	0
LOC100911695	0
LOC103694827	0
LOC103694826	0
LOC103694825	0
LOC100911463	0
LOC100911394	0
LOC103694823	7
LOC108353417	0
LOC108353415	0
LOC108353416	0
LOC103690247	0
LOC108353410	0
LOC103694790	0
LOC108353403	0
LOC108353413	0
LOC103694786	0
LOC103694782	0
LOC103694781	0
LOC103694779	0
LOC108353394	0
LOC103694768	0
LOC103694776	0
LOC108353386	0
LOC103694775	0
LOC108353389	0
LOC103694766	0
LOC108353393	0
LOC103694764	0
LOC108353392	0
LOC103694765	0
LOC108353388	0
LOC108353387	0
LOC103694762	0
LOC103694760	0
LOC108353391	0
LOC108353383	0
LOC108353382	0
LOC108353381	0
LOC103694749	0
LOC103694745	0
LOC108353379	0
LOC103694747	0
LOC103694726	0
LOC108353376	0
LOC103694733	0
LOC103694731	0
LOC103694730	0
LOC103694708	20
LOC108353374	0
LOC108353373	0
LOC108353372	0
LOC108353367	0
LOC108353364	0
LOC108353363	0
LOC108353362	0
LOC108353361	0
LOC108353360	0
LOC108353357	0
LOC108353359	0
LOC108353356	0
LOC108353355	0
LOC108353354	0
LOC108353350	0
LOC108353349	0
LOC108353341	0
LOC108353348	0
LOC108353347	0
LOC108353346	0
LOC108353345	0
LOC108353340	0
