Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,days_treatment,Experiment,GEO_Accession (exp),Instrument,knockdown,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,treatment,cell_type
SRR3414629,RNA-Seq,65,1371895785,PRJNA319261,SAMN04884005,647534349,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",7,SRX1718990,GSM2130680,Illumina HiSeq 2500,no,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130680,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
SRR3414630,RNA-Seq,65,990906215,PRJNA319261,SAMN04884006,469013260,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",7,SRX1718991,GSM2130681,Illumina HiSeq 2500,no,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:49:00Z,1,GSM2130681,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
SRR3414631,RNA-Seq,65,1575864485,PRJNA319261,SAMN04884007,739820900,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",7,SRX1718992,GSM2130682,Illumina HiSeq 2500,no,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:51:00Z,1,GSM2130682,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
SRR3414632,RNA-Seq,65,1282334950,PRJNA319261,SAMN04884008,603223011,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",7,SRX1718993,GSM2130683,Illumina HiSeq 2500,Trim28,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130683,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
SRR3414633,RNA-Seq,65,1372695675,PRJNA319261,SAMN04884009,646486986,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",7,SRX1718994,GSM2130684,Illumina HiSeq 2500,Trim28,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130684,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
SRR3414634,RNA-Seq,65,1377197900,PRJNA319261,SAMN04884010,651848546,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",7,SRX1718995,GSM2130685,Illumina HiSeq 2500,Trim28,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130685,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
SRR3414635,RNA-Seq,65,1362170875,PRJNA319261,SAMN04884011,644453633,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",7,SRX1718996,GSM2130686,Illumina HiSeq 2500,no,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130686,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,no doxycycline,
SRR3414636,RNA-Seq,65,1319964555,PRJNA319261,SAMN04884012,621350151,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",7,SRX1718997,GSM2130687,Illumina HiSeq 2500,no,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130687,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,no doxycycline,
SRR3414637,RNA-Seq,65,1325062050,PRJNA319261,SAMN04884013,621546249,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",7,SRX1718998,GSM2130688,Illumina HiSeq 2500,no,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130688,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,no doxycycline,MEF
SRR3414638,RNA-Seq,65,1410244680,PRJNA319261,SAMN04884014,666104444,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",7,SRX1718999,GSM2130689,Illumina HiSeq 2500,Trim28/Setdb1,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-06-29T00:00:00Z,2016-04-21T17:50:00Z,1,GSM2130689,mouse embryonic fiblroblasts containing FUW-OSKM and FUW-M2rtTA,SRP073679,C57BL/6,doxycyline,in vitro reprogrammed cells
