UID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
5_8S_rRNA	0	0	110	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5S_rRNA	3	0	14	0	2	8	0	0	2	0	3	0	0	2	4	4	9	8	7	1
7SK	38	255	92	51	49	68	83	11	25	13	26	22	175	24	76	37	58	115	13	58
A1BG	13	9	34	20	7	76	38	5	25	15	21	17	26	19	20	10	23	16	13	17
A1BG-AS1	36	42	92	93	65	60	87	29	64	94	116	66	164	159	90	155	104	43	96	146
A1CF	5	4	41	6	7	32	4	3	22	11	10	2	9	2	10	10	4	13	9	9
A2M	6538	26460	14274	18955	10442	11792	42492	14063	6829	29032	117842	83374	172895	151521	166767	205502	193561	136426	96263	238421
A2M-AS1	35	32	69	58	29	68	50	66	67	116	183	107	242	149	413	261	372	433	67	232
A2ML1	270	2639	108	7334	3664	3285	61	400	20	9	14	18	22	17	19	43	12	17	0	25
A2ML1-AS1	4	2	4	3	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1
A2ML1-AS2	1	0	5	1	1	10	0	0	0	0	0	1	0	0	0	0	0	1	1	0
A2MP1	9	17	58	22	18	12	19	21	31	60	96	39	115	95	281	118	121	152	51	69
A3GALT2	2	2	7	0	1	50	5	5	15	1	10	3	8	19	9	21	2	9	5	10
A4GALT	957	1836	854	2939	813	347	732	5000	291	131	670	509	424	470	415	405	384	336	225	540
A4GNT	7	5	8	10	13	3	5	3	4	7	12	3	11	14	9	7	10	7	14	18
AA06	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	2	1	0	0
AAAS	807	587	851	822	1368	704	674	1200	823	563	538	643	712	787	577	841	761	533	474	883
AACS	1769	680	2098	1885	793	928	664	2087	712	2211	644	506	558	558	506	407	491	498	355	497
AACSP1	20	51	284	32	9	37	3	4	5	3	1	5	20	0	11	5	18	3	0	4
AADAC	197	97	67	345	79	60	53	56	39	42	28	71	88	58	145	43	168	89	54	103
AADACL2	25	61	7	29	8	107	0	10	1	1	0	1	18	2	15	6	5	2	7	3
AADACL2-AS1	48	10	2	26	9	22	11	23	2	1	0	1	27	2	35	3	3	2	0	0
AADACL3	0	0	21	0	5	13	0	6	0	17	0	1	0	0	0	0	0	0	0	0
AADACL4	0	0	11	0	1	5	0	1	0	1	1	2	0	0	0	2	1	1	2	1
AADACP1	399	98	90	385	85	164	89	46	49	0	11	38	38	12	46	39	53	7	26	8
AADAT	37	151	85	112	91	84	101	70	140	99	81	102	113	58	173	150	208	114	146	148
AAGAB	915	3496	1326	2012	1467	1446	1462	2957	1341	1252	816	883	956	1231	955	1101	952	958	663	1208
AAK1	2858	2922	4462	5297	3629	2558	4565	4752	4361	2760	4724	4664	3534	3872	4238	4776	4992	4306	3145	4102
