pid,sex,group,registration.d_arrive,registration.weight,familiarization.d_visit,familiarization.weight,key.d_sacrifice,terminal.weight.bw
10700102,female,1w,14NOV2018,164.5,05FEB2019,192,25FEB2019,186.7
10760008,female,1w,14NOV2018,157.7,05FEB2019,189,26FEB2019,183.1
10770666,female,1w,14NOV2018,163.3,05FEB2019,199,27FEB2019,193.1
10780629,female,1w,14NOV2018,162.4,05FEB2019,188,27FEB2019,186.6
10784616,female,1w,14NOV2018,172.6,05FEB2019,197,27FEB2019,194.2
10833331,female,1w,14NOV2018,160,05FEB2019,190,27FEB2019,185.3
10886028,female,1w,14NOV2018,163.9,05FEB2019,191,27FEB2019,183.3
10901000,female,1w,14NOV2018,166.8,05FEB2019,200,25FEB2019,197.7
10901434,female,1w,14NOV2018,150.4,05FEB2019,180,25FEB2019,175.3
10914331,female,1w,14NOV2018,163.4,05FEB2019,183,25FEB2019,182.6
10934529,female,1w,14NOV2018,153.7,05FEB2019,183,25FEB2019,179
10950486,female,1w,14NOV2018,161.6,05FEB2019,186,26FEB2019,179.3
10950648,female,1w,14NOV2018,171.2,05FEB2019,200,26FEB2019,197.3
10953744,female,1w,14NOV2018,163.5,05FEB2019,192,26FEB2019,183.3
10962735,female,1w,14NOV2018,163.8,05FEB2019,199,26FEB2019,190.6
10680837,female,2w,14NOV2018,155.9,05FEB2019,179,04MAR2019,174.3
10702741,female,2w,14NOV2018,165.3,05FEB2019,191,04MAR2019,195.1
10729518,female,2w,14NOV2018,153.6,05FEB2019,194,04MAR2019,194.9
10732306,female,2w,14NOV2018,149.4,05FEB2019,181,04MAR2019,179.6
10734945,female,2w,14NOV2018,153.8,05FEB2019,189,04MAR2019,188.9
10742611,female,2w,14NOV2018,169.2,05FEB2019,195,05MAR2019,194
10756086,female,2w,14NOV2018,176.4,05FEB2019,206,05MAR2019,202.8
10761160,female,2w,14NOV2018,171.9,05FEB2019,203,05MAR2019,193.3
10782168,female,2w,14NOV2018,165,05FEB2019,191,06MAR2019,181.9
10830073,female,2w,14NOV2018,164.9,05FEB2019,190,06MAR2019,180
10858679,female,2w,14NOV2018,152.7,05FEB2019,174,06MAR2019,179.7
10871349,female,2w,14NOV2018,171.3,05FEB2019,195,06MAR2019,191.8
10877894,female,2w,14NOV2018,163.6,05FEB2019,197,06MAR2019,186.9
10971645,female,2w,14NOV2018,158.5,05FEB2019,192,05MAR2019,186.4
10972374,female,2w,14NOV2018,160.3,05FEB2019,185,05MAR2019,185.7
10268871,female,4w,04SEP2018,148.1,23OCT2018,158.4,03DEC2018,174.3
10282947,female,4w,04SEP2018,150,23OCT2018,171.1,03DEC2018,181.3
10284052,female,4w,04SEP2018,154.7,23OCT2018,178.8,03DEC2018,184.1
10300007,female,4w,04SEP2018,171.8,23OCT2018,197.9,03DEC2018,195.1
10306471,female,4w,04SEP2018,172.8,23OCT2018,197.2,04DEC2018,200
10309659,female,4w,04SEP2018,166,23OCT2018,176.8,04DEC2018,181.3
10314733,female,4w,04SEP2018,154.9,23OCT2018,169.8,04DEC2018,185.3
10315624,female,4w,04SEP2018,160.3,23OCT2018,171.7,04DEC2018,175
10335064,female,4w,04SEP2018,165.1,23OCT2018,186.9,04DEC2018,181.4
