pid,sex,group,terminal.weight.bw,terminal.weight.lg,terminal.weight.mg,terminal.weight.pl,terminal.weight.sol
10700102,female,1w,186.7,570,378,180,86
10760008,female,1w,183.1,590,373,197,87
10770666,female,1w,193.1,562,377,199,80
10780629,female,1w,186.6,576,396,187,85
10784616,female,1w,194.2,548,400,184,80
10833331,female,1w,185.3,571,399,188,79
10886028,female,1w,183.3,556,366,176,81
10901000,female,1w,197.7,561,409,181,86
10901434,female,1w,175.3,566,393,181,79
10914331,female,1w,182.6,558,380,186,79
10934529,female,1w,179,545,361,189,81
10950486,female,1w,179.3,565,360,182,80
10950648,female,1w,197.3,575,415,198,73
10953744,female,1w,183.3,572,383,191,81
10962735,female,1w,190.6,573,412,186,77
10680837,female,2w,174.3,526,381,178,74
10702741,female,2w,195.1,620,435,211,84
10729518,female,2w,194.9,625,387,200,86
10732306,female,2w,179.6,548,375,191,76
10734945,female,2w,188.9,592,414,185,82
10742611,female,2w,194,577,411,201,87
10756086,female,2w,202.8,629,411,195,84
10761160,female,2w,193.3,595,398,198,83
10782168,female,2w,181.9,574,384,207,83
10830073,female,2w,180,558,371,178,84
10858679,female,2w,179.7,536,375,183,76
10871349,female,2w,191.8,585,443,198,89
10877894,female,2w,186.9,572,394,202,85
10971645,female,2w,186.4,564,395,188,79
10972374,female,2w,185.7,535,391,181,72
10268871,female,4w,174.3,491,358,181,84
10282947,female,4w,181.3,524,376,188,82
10284052,female,4w,184.1,541,393,192,77
10300007,female,4w,195.1,587,411,220,87
10306471,female,4w,200,578,402,199,82
10309659,female,4w,181.3,533,384,186,80
10314733,female,4w,185.3,548,387,180,89
10315624,female,4w,175,521,366,174,69
10335064,female,4w,181.4,544,397,210,82
10335730,female,4w,192.3,553,420,189,86
10337199,female,4w,188.8,564,370,179,81
10338918,female,4w,187.3,553,384,190,81
10356738,female,4w,229,700,446,218,108
10381414,female,4w,186.2,549,386,187,76
10387021,female,4w,190.7,527,410,167,72
10391800,female,4w,190,594,372,198,83
10398651,female,4w,192.4,556,402,189,87
10411690,female,4w,163.5,499,332,165,69
10043608,female,8w,194,592,410,198,81
10044256,female,8w,176.8,579,352,171,69
10044760,female,8w,180,512,380,188,88
10044841,female,8w,180.7,520,386,169,70
10045228,female,8w,181.3,519,386,176,77
10045309,female,8w,183.4,547,396,182,81
10045651,female,8w,197.7,533,399,198,84
10045732,female,8w,179.7,555,401,183,74
10046461,female,8w,200.3,591,433,193,83
10046542,female,8w,194.9,609,420,200,77
10046623,female,8w,192.2,562,432,192,79
10046704,female,8w,177,539,388,194,70
10046895,female,8w,192.3,573,394,190,79
10046976,female,8w,194.2,550,412,205,86
10043527,female,control,196.2,556,390,189,82
10043799,female,control,196.2,530,372,172,70
10043950,female,control,195,567,384,179,73
10044094,female,control,190,531,385,174,72
10044337,female,control,199.1,540,389,174,75
10044418,female,control,186.4,578,389,175,74
10044922,female,control,180.2,526,363,168,80
10045570,female,control,184.8,500,347,172,72
10045813,female,control,179.9,513,348,182,62
10046038,female,control,199,589,383,182,73
10046119,female,control,200.2,560,389,188,79
