Feature,AM1,AM2,AM3,FM3,FM4,FM5
0610007L01Rik,1092,1156,1192,880,808,851
0610007P08Rik,476,388,452,549,450,655
0610007P14Rik,419,489,395,525,540,491
0610007P22Rik,365,378,321,502,486,389
0610009B22Rik,233,242,244,248,217,209
0610009D07Rik,449,422,408,676,723,842
0610009L18Rik,46,46,59,53,58,60
0610009O20Rik,656,758,642,710,660,641
0610010F05Rik,1107,1021,866,2482,2218,3036
0610010K06Rik,0,0,0,0,0,0
0610010K14Rik,354,450,407,1081,925,749
0610010O12Rik,0,0,0,0,0,0
0610011F06Rik,317,388,380,260,224,199
0610011L14Rik,697,725,732,637,632,648
0610012H03Rik,0,0,0,0,0,0
0610030E20Rik,202,208,224,360,317,329
0610031J06Rik,637,617,676,348,327,241
0610037L13Rik,892,897,1010,940,922,848
0610037P05Rik,551,535,572,627,634,636
0610039K10Rik,44,30,27,8,6,13
0610040B10Rik,4,0,6,3,5,4
0610040J01Rik,75,115,112,18,25,10
0910001L09Rik,512,717,689,571,613,538
1.3000001-3776472.1,1,1,1,1,0,0
1.58030135-58280699.1,1,1,2,3,3,3
10.113745972-114224148.1,1,0,0,0,0,0
10.86263323-86547784.1,1,2,0,0,1,0
1100001G20Rik,0,1,0,0,0,2
1110001A16Rik,151,129,114,95,127,87
1110002B05Rik,308,340,325,616,495,551
1110002L01Rik,60,68,71,116,90,106
1110002N22Rik,87,68,82,109,106,113
1110003E01Rik,2780,2596,2632,1763,1722,1756
1110003O08Rik,264,270,349,133,158,143
1110004E09Rik,553,526,501,453,423,329
1110004F10Rik,1707,1757,1608,2974,2819,2624
1110005A03Rik,196,177,203,297,352,363
1110006G14Rik,2,4,2,1,0,0
1110007A13Rik,574,554,531,1711,1497,1750
1110007C09Rik,114,167,100,70,62,45
1110008E08Rik,4,2,1,0,0,0
1110008F13Rik,352,450,429,464,482,430
1110008J03Rik,394,437,377,306,273,269
1110008L16Rik,125,104,140,241,212,266
