Feature,AM1,AM2,AM3,FM3,FM4,FM5
0610007L01Rik,1080.9093002024924,1123.0124888416433,1196.571824068745,848.1853835208797,832.4253862163766,849.096538169296
0610007P08Rik,471.16559239595824,376.92806718906365,453.73361114016166,529.1520176738215,463.60324727397216,653.5349383089176
0610007P14Rik,414.74450255022373,475.04594034910343,396.51499203620324,506.01968903234297,556.3238967287666,489.90176291553973
0610007P22Rik,361.2929437490016,367.21342628212903,322.2311707433449,483.8512074175927,500.69150705588993,388.1299099269755
0610009B22Rik,230.63357779045856,235.09430994781806,244.93584318185717,239.03406262861154,223.55978812989324,208.53252230009738
0610009D07Rik,444.43981299534715,409.9578462726414,409.5648525335973,651.5605900683121,744.8558839535152,840.1166687879521
0610009L18Rik,45.53280934918924,44.6873481718993,59.226289949711365,51.08389241659843,59.75330742642308,59.86579587562604
0610009O20Rik,649.3374550666988,736.369780745645,644.4623414866898,684.3313889770734,679.9514293351591,639.5662526046049
0610010F05Rik,1095.7569554250542,991.8648365980258,869.3214762110177,2392.268320339572,2285.0488943414894,3029.2092713066777
0610010K06Rik,0,0,0,0,0,0
0610010K14Rik,350.4046632524563,437.1588408120584,408.5610171107208,1041.9186358932625,952.9622305076094,747.3246851807318
0610010O12Rik,0,0,0,0,0,0
0610011F06Rik,313.7804470368041,376.92806718906365,381.45746069305625,250.6002269493508,230.77139419859947,198.5548896541597
0610011L14Rik,689.9210460083674,704.3114657527607,734.8075295455716,613.9705560259094,651.1050050603342,646.5505954567612
0610012H03Rik,0,0,0,0,0,0
0610030E20Rik,199.94842366383102,202.0645308642403,224.8591347243279,346.9849296221781,326.58273196855373,328.26411405134945
0610031J06Rik,630.5304251181205,599.3933439578667,678.5927458644895,335.4187653014388,336.88502635241974,240.46094676709794
0610037L13Rik,882.9405639016696,871.4032893520364,1013.8737771052284,906.016205124576,949.8715421924496,846.1032483755147
0610037P05Rik,545.4038685087668,519.7332885210028,574.1938618853374,604.3320857586267,653.1654639371075,634.577436281636
0610039K10Rik,43.55312198618101,29.143922720803893,27.103556417664525,7.710776213826179,6.181376630319629,12.970922439718976
0610040B10Rik,3.959374726016456,0,6.023012537258783,2.891541080184817,5.151147191933024,3.991053058375069
0610040J01Rik,74.23827611280855,111.71837042974825,112.42956736216395,17.349246481108903,25.75573595966512,9.977632645937673
