Run,sex,strain,tissue,treatment,Vial_Label,Library.Name,LibraryLayout,LibrarySelection,LibrarySource,Bytes,BioProject,BioSample,Experiment,SRA.Study,Sample.Name
SRR25251383,female,fischer 344,Liver Powder,Control - 8 weeks,90245016803,rna-seq_liver_control_female_8w_biological_rep1_vial_90245016803,PAIRED,PolyA,TRANSCRIPTOMIC,2365369167,PRJNA908279,SAMN36364632,SRX20997597,SRP448906,liver_control_female_8w_biological_rep1_vial_90245016803
SRR25251382,female,fischer 344,Liver Powder,Control - 8 weeks,90248016803,rna-seq_liver_control_female_8w_biological_rep2_vial_90248016803,PAIRED,PolyA,TRANSCRIPTOMIC,2201524024,PRJNA908279,SAMN36364633,SRX20997598,SRP448906,liver_control_female_8w_biological_rep2_vial_90248016803
SRR25251380,female,fischer 344,Liver Powder,Control - 8 weeks,90252016803,rna-seq_liver_control_female_8w_biological_rep3_vial_90252016803,PAIRED,PolyA,TRANSCRIPTOMIC,2042558674,PRJNA908279,SAMN36364635,SRX20997600,SRP448906,liver_control_female_8w_biological_rep3_vial_90252016803
SRR25251376,female,fischer 344,Liver Powder,Control - 8 weeks,90265016803,rna-seq_liver_control_female_8w_biological_rep4_vial_90265016803,PAIRED,PolyA,TRANSCRIPTOMIC,2476993697,PRJNA908279,SAMN36364639,SRX20997604,SRP448906,liver_control_female_8w_biological_rep4_vial_90265016803
SRR25251374,female,fischer 344,Liver Powder,Control - 8 weeks,90266016803,rna-seq_liver_control_female_8w_biological_rep5_vial_90266016803,PAIRED,PolyA,TRANSCRIPTOMIC,2357470438,PRJNA908279,SAMN36364640,SRX20997606,SRP448906,liver_control_female_8w_biological_rep5_vial_90266016803
SRR25251541,female,fischer 344,Liver Powder,Reference,80003996808,rna-seq_liver_female_reference_8_vial_80003996808,PAIRED,PolyA,TRANSCRIPTOMIC,2440804986,PRJNA908279,SAMN36363937,SRX20997440,SRP448906,liver_female_reference_8_vial_80003996808
SRR25251530,female,fischer 344,Liver Powder,Reference,80003996809,rna-seq_liver_female_reference_8_vial_80003996809,PAIRED,PolyA,TRANSCRIPTOMIC,2238687764,PRJNA908279,SAMN36363938,SRX20997451,SRP448906,liver_female_reference_8_vial_80003996809
SRR25251381,female,fischer 344,Liver Powder,Training - 8 weeks,90251016803,rna-seq_liver_training_female_8w_biological_rep1_vial_90251016803,PAIRED,PolyA,TRANSCRIPTOMIC,2393223497,PRJNA908279,SAMN36364634,SRX20997599,SRP448906,liver_training_female_8w_biological_rep1_vial_90251016803
SRR25251379,female,fischer 344,Liver Powder,Training - 8 weeks,90254016803,rna-seq_liver_training_female_8w_biological_rep2_vial_90254016803,PAIRED,PolyA,TRANSCRIPTOMIC,2529877283,PRJNA908279,SAMN36364636,SRX20997601,SRP448906,liver_training_female_8w_biological_rep2_vial_90254016803
SRR25251378,female,fischer 344,Liver Powder,Training - 8 weeks,90258016803,rna-seq_liver_training_female_8w_biological_rep3_vial_90258016803,PAIRED,PolyA,TRANSCRIPTOMIC,2371449984,PRJNA908279,SAMN36364637,SRX20997602,SRP448906,liver_training_female_8w_biological_rep3_vial_90258016803
