pid,group,sex,registration.d_arrive,registration.weight,familiarization.d_visit,familiarization.weight,key.d_sacrifice,terminal.weight.bw
10023259,control,male,05JUN2018,335,27JUN2018,333,03SEP2018,346.2
10024735,8w,male,05JUN2018,317.2,27JUN2018,327.2,03SEP2018,304.7
10024816,control,male,05JUN2018,307.6,27JUN2018,319.7,03SEP2018,324.6
10025464,control,male,05JUN2018,297.2,27JUN2018,316.4,04SEP2018,332.8
10025545,control,male,05JUN2018,338.7,27JUN2018,345.3,04SEP2018,353.8
10025626,8w,male,05JUN2018,303.4,27JUN2018,315.6,04SEP2018,293.3
10025707,8w,male,05JUN2018,346.1,27JUN2018,354.3,04SEP2018,331
10025898,8w,male,05JUN2018,327.3,27JUN2018,339.4,04SEP2018,321.1
10025979,8w,male,05JUN2018,338.2,27JUN2018,352.6,05SEP2018,327
10026002,control,male,05JUN2018,327.5,27JUN2018,339.7,05SEP2018,360.2
10026193,8w,male,05JUN2018,334.5,27JUN2018,338.1,05SEP2018,321.2
10026274,control,male,05JUN2018,290.8,27JUN2018,304,05SEP2018,318.6
10026355,control,male,05JUN2018,353.7,27JUN2018,365.9,05SEP2018,381.1
10026436,8w,male,05JUN2018,314.7,27JUN2018,333.8,05SEP2018,311.2
10026517,control,male,05JUN2018,312.2,27JUN2018,325.8,06SEP2018,366.1
10026789,control,male,05JUN2018,322.9,27JUN2018,339.6,06SEP2018,357.2
10026940,8w,male,05JUN2018,342.6,27JUN2018,342.6,06SEP2018,326.5
10027084,8w,male,05JUN2018,338.4,27JUN2018,336.4,06SEP2018,324.5
10027165,8w,male,05JUN2018,304,27JUN2018,323.9,06SEP2018,305.2
10027246,8w,male,05JUN2018,292.4,27JUN2018,304.7,06SEP2018,287.4
10027327,control,male,05JUN2018,361.3,27JUN2018,371.4,07SEP2018,351.4
10027408,8w,male,05JUN2018,322.3,27JUN2018,340.1,07SEP2018,312.6
10027599,control,male,05JUN2018,321.9,27JUN2018,337.2,07SEP2018,342.7
10027831,control,male,05JUN2018,315.1,27JUN2018,331.9,07SEP2018,383.4
10027912,8w,male,05JUN2018,310.9,27JUN2018,338,07SEP2018,317.9
10043527,control,female,02JUL2018,180.2,24JUL2018,181.2,01OCT2018,196.2
10043608,8w,female,02JUL2018,180.4,24JUL2018,184.2,01OCT2018,194
10043799,control,female,02JUL2018,179.4,24JUL2018,179.2,05OCT2018,196.2
10043950,control,female,02JUL2018,176.6,24JUL2018,174.4,05OCT2018,195
10044094,control,female,02JUL2018,180.1,24JUL2018,181.2,01OCT2018,190
10044256,8w,female,02JUL2018,168.9,24JUL2018,167.4,01OCT2018,176.8
10044337,control,female,02JUL2018,183.6,24JUL2018,185.2,01OCT2018,199.1
10044418,control,female,02JUL2018,177.1,24JUL2018,178.3,02OCT2018,186.4
10044760,8w,female,02JUL2018,170.3,24JUL2018,171.6,02OCT2018,180
10044841,8w,female,02JUL2018,178.4,24JUL2018,178.1,02OCT2018,180.7
10044922,control,female,02JUL2018,163.2,24JUL2018,168.4,02OCT2018,180.2
10045228,8w,female,02JUL2018,163.5,24JUL2018,167.1,03OCT2018,181.3
10045309,8w,female,02JUL2018,182.4,24JUL2018,184.2,03OCT2018,183.4
10045570,control,female,02JUL2018,168.7,24JUL2018,170.3,03OCT2018,184.8
10045651,8w,female,02JUL2018,191.6,24JUL2018,190.1,03OCT2018,197.7
10045732,8w,female,02JUL2018,171.6,24JUL2018,176.6,03OCT2018,179.7
10045813,control,female,02JUL2018,167.7,24JUL2018,172.1,03OCT2018,179.9
10046038,control,female,02JUL2018,180.5,24JUL2018,185.7,04OCT2018,199
10046119,control,female,02JUL2018,178.6,24JUL2018,189.1,04OCT2018,200.2
10046380,control,female,02JUL2018,186.1,24JUL2018,187.2,04OCT2018,209.3
10046461,8w,female,02JUL2018,192.3,24JUL2018,191.4,04OCT2018,200.3
10046542,8w,female,02JUL2018,190.6,24JUL2018,195.6,04OCT2018,194.9
10046623,8w,female,02JUL2018,179.7,24JUL2018,187.2,04OCT2018,192.2
10046704,8w,female,02JUL2018,173.3,24JUL2018,171.5,05OCT2018,177
10046895,8w,female,02JUL2018,179.3,24JUL2018,187,05OCT2018,192.3
10046976,8w,female,02JUL2018,175.2,24JUL2018,176.2,05OCT2018,194.2
10059369,4w,male,07AUG2018,327,02OCT2018,338.1,12NOV2018,324.2
10063633,4w,male,07AUG2018,300.8,02OCT2018,338.9,12NOV2018,332.9
10085017,4w,male,07AUG2018,328.7,02OCT2018,352.6,12NOV2018,343.9
10088113,4w,male,07AUG2018,250.7,02OCT2018,281.6,12NOV2018,271
10093702,4w,male,07AUG2018,252.7,02OCT2018,277.7,12NOV2018,267.9
10095241,4w,male,07AUG2018,291.5,02OCT2018,321,13NOV2018,307.7
10106383,4w,male,07AUG2018,292.7,02OCT2018,315,13NOV2018,301.4
10136967,4w,male,07AUG2018,337.1,02OCT2018,353.5,13NOV2018,353.9
10139044,4w,male,07AUG2018,276.7,02OCT2018,311,13NOV2018,297.6
10139710,4w,male,07AUG2018,246.5,02OCT2018,272,13NOV2018,265.4
10152148,4w,male,07AUG2018,300,02OCT2018,321.2,14NOV2018,336.1
10171010,4w,male,07AUG2018,304,02OCT2018,334.2,14NOV2018,311.3
10175431,4w,male,07AUG2018,313.8,02OCT2018,352.9,14NOV2018,308.5
10179267,4w,male,07AUG2018,294.6,02OCT2018,326.9,14NOV2018,311.7
10185585,4w,male,07AUG2018,309.4,02OCT2018,347.5,15NOV2018,319.1
10204989,4w,male,07AUG2018,273.4,02OCT2018,302.5,15NOV2018,313.3
10219315,4w,male,07AUG2018,302.9,02OCT2018,327.1,15NOV2018,327.4
10220917,4w,male,07AUG2018,309.2,02OCT2018,331.3,15NOV2018,298.1
10268871,4w,female,04SEP2018,148.1,23OCT2018,158.4,03DEC2018,174.3
10282947,4w,female,04SEP2018,150,23OCT2018,171.1,03DEC2018,181.3
10284052,4w,female,04SEP2018,154.7,23OCT2018,178.8,03DEC2018,184.1
10300007,4w,female,04SEP2018,171.8,23OCT2018,197.9,03DEC2018,195.1
10306471,4w,female,04SEP2018,172.8,23OCT2018,197.2,04DEC2018,200
10309659,4w,female,04SEP2018,166,23OCT2018,176.8,04DEC2018,181.3
