pid,sex,group,visit1_date,visit2_date,visit1_weight,visit2_weight,visit1_fat,visit2_fat,visit1_lean,visit2_lean,visit1_fluid,visit2_fluid,visit2_comments
10700102,female,1w,06FEB2019,,192,NA,14.4,NA,54.8,NA,10,NA,
10760008,female,1w,06FEB2019,,206,NA,12.6,NA,59,NA,10.4,NA,
10770666,female,1w,06FEB2019,,199,NA,10.9,NA,61.5,NA,10.3,NA,
10780629,female,1w,06FEB2019,,188,NA,11.7,NA,61.8,NA,10.4,NA,
10784616,female,1w,06FEB2019,,197,NA,15,NA,57.9,NA,10.5,NA,
10833331,female,1w,06FEB2019,,190,NA,11.9,NA,61.5,NA,10.4,NA,
10886028,female,1w,06FEB2019,,191,NA,13,NA,60.6,NA,10.6,NA,
10901000,female,1w,06FEB2019,,200,NA,14.6,NA,59.2,NA,10.7,NA,
10901434,female,1w,06FEB2019,,180,NA,12.4,NA,60.7,NA,10.7,NA,
10914331,female,1w,06FEB2019,,183,NA,11.5,NA,61.4,NA,10.4,NA,
10934529,female,1w,06FEB2019,,183,NA,10.1,NA,61,NA,10.6,NA,
10950486,female,1w,06FEB2019,,186,NA,11.1,NA,61.6,NA,10.4,NA,
10950648,female,1w,06FEB2019,,200,NA,14.8,NA,58.6,NA,10.5,NA,
10953744,female,1w,06FEB2019,,192,NA,11,NA,61.3,NA,10.1,NA,
10962735,female,1w,06FEB2019,,199,NA,13.3,NA,58.4,NA,10.2,NA,
10680837,female,2w,06FEB2019,,179,NA,13.5,NA,59.6,NA,10.5,NA,
10702741,female,2w,06FEB2019,,191,NA,10.3,NA,61.6,NA,9.9,NA,
10729518,female,2w,06FEB2019,,194,NA,11.5,NA,60.6,NA,10.6,NA,
10732306,female,2w,06FEB2019,,181,NA,13.5,NA,56.5,NA,10.2,NA,
10734945,female,2w,06FEB2019,,189,NA,12.8,NA,59.2,NA,10.1,NA,
10742611,female,2w,06FEB2019,,196,NA,12.3,NA,58.7,NA,10.1,NA,
10756086,female,2w,06FEB2019,,200,NA,13.7,NA,58.9,NA,10.4,NA,
10761160,female,2w,06FEB2019,,203,NA,12.6,NA,59,NA,10.4,NA,
10782168,female,2w,06FEB2019,,191,NA,11.5,NA,60.2,NA,10.5,NA,
10830073,female,2w,06FEB2019,,190,NA,12.2,NA,60.1,NA,10.6,NA,
10858679,female,2w,06FEB2019,,174,NA,13.7,NA,62.2,NA,10.6,NA,
10871349,female,2w,06FEB2019,,195,NA,11.3,NA,61.1,NA,10.3,NA,
10877894,female,2w,06FEB2019,,197,NA,13.7,NA,59.7,NA,10.4,NA,
10971645,female,2w,06FEB2019,,192,NA,12,NA,60.4,NA,10.2,NA,
10972374,female,2w,06FEB2019,,185,NA,13.1,NA,59.8,NA,10.4,NA,
10268871,female,4w,24OCT2018,28NOV2018,158.4,171.9,6.9,7.2,63.1,60.3,9.4,8.7,
10282947,female,4w,24OCT2018,28NOV2018,171.1,181.6,9.7,11,59.9,61,9.5,9.6,
10284052,female,4w,24OCT2018,28NOV2018,178.8,187.6,10.8,10.2,58.8,61.8,9.3,9.7,
10300007,female,4w,24OCT2018,28NOV2018,197.9,196.7,12.6,11,56.9,61.1,9.6,9.6,
10306471,female,4w,24OCT2018,28NOV2018,197.2,196.9,12.6,11.9,58.4,60.9,9.8,10.1,
10309659,female,4w,24OCT2018,29NOV2018,176.8,179.2,11,9.8,56.9,60.5,9.8,9.1,
10314733,female,4w,24OCT2018,29NOV2018,169.8,185,12.1,11.8,58.2,59.4,9.6,9.8,
10315624,female,4w,24OCT2018,29NOV2018,171.7,178.9,10.7,12.3,57.4,59.2,9.5,10,
10335064,female,4w,24OCT2018,29NOV2018,186.9,195.1,12.2,11.4,58.3,60.3,9.7,9.6,
10335730,female,4w,24OCT2018,30NOV2018,186.3,193.3,11.2,10.5,58.2,59.3,9.6,9.6,
10337199,female,4w,24OCT2018,30NOV2018,187.9,189,12.6,12.2,58.9,59.2,9.6,9.8,
10338918,female,4w,24OCT2018,30NOV2018,179.7,187,12.5,12,58.2,60,9.5,9.7,
10356738,female,4w,24OCT2018,30NOV2018,212.3,229.1,13.3,13.9,58.5,57.6,9.4,9.7,
10381414,female,4w,24OCT2018,01DEC2018,181.4,189.4,12.8,10.6,57.6,57.5,9.7,9,NMR was done after animal exercised
10387021,female,4w,24OCT2018,01DEC2018,182.4,190.3,12.8,13.1,57.7,58.3,9.5,9.4,
10391800,female,4w,24OCT2018,01DEC2018,183.5,192.4,10,10.9,58.2,59.1,9,9.7,
10398651,female,4w,24OCT2018,01DEC2018,183.4,191.2,11.5,9.6,60.1,60.9,10,9.3,
10411690,female,4w,24OCT2018,01DEC2018,162.3,164,12.6,12.2,57,59.2,9.8,10,
10043608,female,8w,25JUL2018,26SEP2018,184.2,194,9.3,8.6,59.6,61.8,9.4,9.4,
10044256,female,8w,25JUL2018,26SEP2018,167.4,181,9.1,11.5,59.2,58.5,9.4,9.4,
10044760,female,8w,25JUL2018,27SEP2018,171.6,185,9.7,9.9,57.2,60,10,9.4,
10044841,female,8w,25JUL2018,27SEP2018,178.1,185,10.4,11.4,59.6,59.3,9.9,9.5,
10045228,female,8w,25JUL2018,28SEP2018,167.1,182,10.3,11.6,59.4,59.7,10.1,9.7,
10045309,female,8w,25JUL2018,28SEP2018,184.2,183,12.3,10.1,55.6,60.1,9.5,9.4,
10045651,female,8w,25JUL2018,28SEP2018,190.1,200,12.9,13.6,57.1,57,9.7,9.5,
10045732,female,8w,25JUL2018,28SEP2018,176.6,181,10.7,10.3,58.8,60.2,9.9,9.7,
10046461,female,8w,25JUL2018,29SEP2018,191.4,204,12.1,10.2,57.8,58.9,9.5,9.6,
10046542,female,8w,25JUL2018,29SEP2018,196,197,12.2,12.3,56.5,59.1,9.8,9.6,
10046623,female,8w,25JUL2018,29SEP2018,187.2,193,9.9,11.5,60.7,60.5,9.3,9.7,
10046704,female,8w,25JUL2018,30SEP2018,171.5,177,10.3,9.2,60.3,61.5,9.5,10,
10046895,female,8w,25JUL2018,30SEP2018,187,194,12.3,10.7,56.7,59.2,9.2,9.4,
10046976,female,8w,25JUL2018,30SEP2018,176.2,196,9.7,9.7,60.3,60.2,9.4,9.4,
10043527,female,control,25JUL2018,26SEP2018,181.2,199,11.2,11.7,60.3,59.6,9.5,10,
10043799,female,control,25JUL2018,30SEP2018,179,203,10.7,14.2,59.2,55.7,9.6,9.3,
10043950,female,control,25JUL2018,30SEP2018,174.4,202,11,15.5,59.2,55.6,10,9.8,
10044094,female,control,25JUL2018,26SEP2018,181.2,190,11.3,13.6,58.2,57.3,9.7,10.1,
10044337,female,control,25JUL2018,26SEP2018,185.2,205,11.5,14.9,58.8,54.8,10.1,9.7,
10044418,female,control,25JUL2018,27SEP2018,178.3,191,11.3,13.7,58.4,57.6,9.6,9.7,
10044922,female,control,25JUL2018,27SEP2018,168.4,191,9.5,12,59.4,57.7,9.6,9.5,
10045570,female,control,25JUL2018,28SEP2018,170.3,187,12.1,15.9,58,55.4,10.1,9.9,
10045813,female,control,25JUL2018,28SEP2018,172.1,183,12.1,15.5,59.2,56,10,9.8,
10046038,female,control,25JUL2018,29SEP2018,185.7,208,12.7,16.5,56.9,52.1,9.8,9.7,
10046119,female,control,25JUL2018,29SEP2018,189.1,208,12.7,14.5,57.7,54.9,9.8,9.4,
10046380,female,control,25JUL2018,29SEP2018,187.2,216,10.6,14.7,60.8,55.6,9.6,9.6,
10417702,male,1w,02JAN2019,,343.4,NA,14.3,NA,55.2,NA,10.8,NA,
10422463,male,1w,02JAN2019,,390.5,NA,13.3,NA,57,NA,11,NA,
10424911,male,1w,02JAN2019,,340.2,NA,13.6,NA,56,NA,10.5,NA,
10471596,male,1w,02JAN2019,,333.6,NA,15.3,NA,55.3,NA,11.1,NA,
10478337,male,1w,02JAN2019,,320.2,NA,14.3,NA,56.2,NA,11,NA,
10503110,male,1w,02JAN2019,,329.3,NA,14,NA,56.6,NA,10.7,NA,
10536558,male,1w,02JAN2019,,343.3,NA,14.6,NA,55.4,NA,10.7,NA,
10543767,male,1w,02JAN2019,,359.8,NA,17.1,NA,53.8,NA,11.1,NA,
10553053,male,1w,02JAN2019,,399,NA,14.7,NA,55.8,NA,11.2,NA,
10561072,male,1w,02JAN2019,,350.9,NA,16.8,NA,54.8,NA,11.1,NA,
10616233,male,1w,02JAN2019,,316.3,NA,14.7,NA,58.2,NA,11.1,NA,
10619259,male,1w,02JAN2019,,328.8,NA,12.8,NA,54.5,NA,10,NA,
