pid,sex,group,training.day1_weight,training.day6_weight,training.day11_weight,training.day16_weight,training.day21_weight,training.day26_weight,training.day31_weight,training.day36_weight,training.day1_posttrainlact,training.day5_posttrainlact,training.day6_posttrainlact,training.day7_posttrainlact,training.day8_posttrainlact,training.day9_posttrainlact,training.day10_posttrainlact,training.day11_posttrainlact,training.day15_posttrainlact,training.day16_posttrainlact,training.day20_posttrainlact,training.day21_posttrainlact,training.day25_posttrainlact,training.day26_posttrainlact,training.day30_posttrainlact,training.day31_posttrainlact,training.day35_posttrainlact,training.day39_posttrainlact,training.day40_posttrainlact
10700102,female,1w,190,NA,NA,NA,NA,NA,NA,NA,4.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10760008,female,1w,187,NA,NA,NA,NA,NA,NA,NA,3.9,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10770666,female,1w,200,NA,NA,NA,NA,NA,NA,NA,3.3,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10780629,female,1w,193,NA,NA,NA,NA,NA,NA,NA,6.1,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10784616,female,1w,199,NA,NA,NA,NA,NA,NA,NA,6.9,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10833331,female,1w,190,NA,NA,NA,NA,NA,NA,NA,3.4,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10886028,female,1w,190,NA,NA,NA,NA,NA,NA,NA,6.6,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10901000,female,1w,199,NA,NA,NA,NA,NA,NA,NA,4.8,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10901434,female,1w,177,NA,NA,NA,NA,NA,NA,NA,3.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10914331,female,1w,184,NA,NA,NA,NA,NA,NA,NA,3.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10934529,female,1w,182,NA,NA,NA,NA,NA,NA,NA,4.2,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10950486,female,1w,182,NA,NA,NA,NA,NA,NA,NA,3.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10950648,female,1w,201,NA,NA,NA,NA,NA,NA,NA,3.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10953744,female,1w,186,NA,NA,NA,NA,NA,NA,NA,4.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10962735,female,1w,194,NA,NA,NA,NA,NA,NA,NA,2.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10680837,female,2w,181,180,NA,NA,NA,NA,NA,NA,4.3,3.1,4.7,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10702741,female,2w,196,198,NA,NA,NA,NA,NA,NA,5,2.7,3.2,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10729518,female,2w,196,198,NA,NA,NA,NA,NA,NA,4.7,3.7,3.4,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10732306,female,2w,181,183,NA,NA,NA,NA,NA,NA,4.1,2.3,3.5,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10734945,female,2w,194,191,NA,NA,NA,NA,NA,NA,4.5,3.4,4,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10742611,female,2w,200,197,NA,NA,NA,NA,NA,NA,4.8,2.8,5.2,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10756086,female,2w,207,204,NA,NA,NA,NA,NA,NA,5,3.3,4.1,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10761160,female,2w,200,199,NA,NA,NA,NA,NA,NA,4.2,2.6,3.8,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10782168,female,2w,188,187,NA,NA,NA,NA,NA,NA,4.5,2.9,2.8,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
